Started Logging on Sun Mar 07 22:50:15 1999 
count,hh,mm,ss,AD1,AD2,AD3,AD4,IP1,IP2,IP3,IP4
000000,22,50,15,116,113,116,006,0,0,0,0
000001,22,50,15,116,113,118,006,0,0,0,0
000002,22,50,15,116,113,116,006,0,0,0,0
000003,22,50,15,116,113,116,006,0,0,0,0
000004,22,50,15,116,113,116,006,0,0,0,0
000005,22,50,15,117,116,116,006,0,0,0,0
000006,22,50,15,116,113,116,006,0,0,0,0
000007,22,50,15,116,113,116,006,0,0,0,0
000008,22,50,15,116,113,117,006,0,0,0,0
000009,22,50,15,116,113,119,006,0,0,0,0
000010,22,50,15,116,113,118,006,0,0,0,0
000011,22,50,15,116,113,118,006,0,0,0,0
000012,22,50,15,116,113,118,006,0,0,0,0
000013,22,50,15,116,113,118,006,0,0,0,0
000014,22,50,15,116,114,118,006,0,0,0,0
000015,22,50,15,116,113,117,006,0,0,0,0
000016,22,50,15,116,114,116,006,0,0,0,0
000017,22,50,15,116,114,119,006,0,0,0,0
000018,22,50,15,117,113,118,006,0,0,0,0
000019,22,50,15,116,113,118,006,0,0,0,0
000020,22,50,15,118,113,118,006,0,0,0,0
000021,22,50,15,116,113,119,007,0,0,0,0
000022,22,50,15,116,113,119,006,0,0,0,0
000023,22,50,15,116,113,118,006,0,0,0,0
000024,22,50,15,117,113,119,007,0,0,0,0
000025,22,50,15,116,113,118,006,0,0,0,0
000026,22,50,15,117,114,119,006,0,0,0,0
000027,22,50,15,116,114,121,006,0,0,0,0
000028,22,50,15,117,113,119,006,0,0,0,0
000029,22,50,15,116,113,118,006,0,0,0,0
000030,22,50,15,116,113,116,006,0,0,0,0
000031,22,50,15,116,113,117,006,0,0,0,0
000032,22,50,15,116,113,119,006,0,0,0,0
000033,22,50,15,117,113,118,006,0,0,0,0
000034,22,50,15,116,113,117,006,0,0,0,0
000035,22,50,15,116,113,117,006,0,0,0,0
000036,22,50,15,117,114,122,006,0,0,0,0
000037,22,50,15,116,113,118,007,0,0,0,0
000038,22,50,15,116,113,118,006,0,0,0,0
000039,22,50,15,118,113,118,006,0,0,0,0
000040,22,50,15,116,113,118,006,0,0,0,0
000041,22,50,15,116,113,117,006,0,0,0,0
000042,22,50,15,116,113,118,006,0,0,0,0
000043,22,50,15,116,114,118,006,0,0,0,0
000044,22,50,15,116,113,117,006,0,0,0,0
000045,22,50,15,116,113,118,006,0,0,0,0
000046,22,50,15,116,113,118,006,0,0,0,0
000047,22,50,15,116,114,119,006,0,0,0,0
000048,22,50,15,116,114,119,006,0,0,0,0
000049,22,50,15,116,114,118,006,0,0,0,0
000050,22,50,15,116,114,119,006,0,0,0,0
000051,22,50,15,120,114,119,006,0,0,0,0
000052,22,50,15,116,113,119,006,0,0,0,0
000053,22,50,15,116,113,119,006,0,0,0,0
000054,22,50,15,116,113,119,006,0,0,0,0
000055,22,50,15,118,113,119,006,0,0,0,0
000056,22,50,15,116,113,119,006,0,0,0,0
000057,22,50,15,116,113,119,006,0,0,0,0
000058,22,50,15,117,113,119,006,0,0,0,0
000059,22,50,15,117,113,118,006,0,0,0,0
000060,22,50,15,116,113,117,006,0,0,0,0
000061,22,50,15,116,113,119,006,0,0,0,0
000062,22,50,15,116,114,117,006,0,0,0,0
000063,22,50,15,116,115,116,006,0,0,0,0
000064,22,50,15,116,113,116,006,0,0,0,0
000065,22,50,15,116,113,116,006,0,0,0,0
000066,22,50,15,116,113,116,006,0,0,0,0
000067,22,50,15,117,116,116,006,0,0,0,0
000068,22,50,15,116,113,116,006,0,0,0,0
000069,22,50,15,116,113,118,006,0,0,0,0
000070,22,50,15,116,113,119,006,0,0,0,0
000071,22,50,15,116,113,119,006,0,0,0,0
000072,22,50,15,116,113,117,006,0,0,0,0
000073,22,50,15,116,113,119,006,0,0,0,0
000074,22,50,15,116,113,119,006,0,0,0,0
000075,22,50,15,115,113,118,006,0,0,0,0
000076,22,50,15,116,114,117,006,0,0,0,0
000077,22,50,15,116,114,119,006,0,0,0,0
000078,22,50,15,116,113,119,006,0,0,0,0
000079,22,50,15,116,113,121,006,0,0,0,0
